sentiment,text,user
"negative","RT @NYGovCuomo: I know this is hard.\n\nI wish I could say this will be over soon, but I can’t. \n\nWe must make decisions based on the science…","Jacquel35522902"
"negative","RT @nytimes: This simulation uses research data to show what happens when a person infected with a virus coughs indoors. For a heavy cough,…","my2ids"
"neutral","RT @TeamPelosi: The #coronavirus crisis is a public health emergency that called for a coordinated federal response based on science, evide…","MarciaBunney"
"negative","RT @AkkBlr: Drug repurposing for #COVID19 is getting out of hand. It is deeply worrying for Turkish science that @ercumentovali tries to pu…","burcucella"
"positive","RT @democracymum: If Jacinda decides to extend #nzlockdown next week (by two weeks) she should have to first guarantee that the extra pain…","sopsaka"
"neutral","RT @gp_pulipaka: A 9 Page Data Science Cheat Sheet. #BigData #Analytics #DataScience #IoT #IIoT #PyTorch #Python #RStats #TensorFlow #Java…","JacobusSystems"
"neutral","RT @TeamPelosi: The #coronavirus crisis is a public health emergency that called for a coordinated federal response based on science, evide…","missythefae"
"negative","RT @NYGovCuomo: I know this is hard.\n\nI wish I could say this will be over soon, but I can’t. \n\nWe must make decisions based on the science…","Ellie_J_Sims"
"positive","RT @NBCian: CA Gov. Newsom reminds: “#StayAtHome order is still in effect. You have successfully bent, and arguably flattened the curve in…","instinqts"
"neutral","RT @NASA: Our living Earth 🌎💚\n\nWe're 6 days away from the 50th anniversary of Earth Day. Decorate your space with our 2020 Earth Day poster…","athiskemonn"
"neutral","RT @TeamPelosi: The #coronavirus crisis is a public health emergency that called for a coordinated federal response based on science, evide…","Rbnhoodga"
"neutral","RT @TeamPelosi: The #coronavirus crisis is a public health emergency that called for a coordinated federal response based on science, evide…","giraffami"
"positive","RT @palewire: @simonw SQL is better at the fundamentals than most data science tools, including R and pandas.","ablawso"
"positive","RT @aikarobredo: A really good explanation using data and Science, and expressed in the simplest terms.","legallyzen"
"negative","RT @NYGovCuomo: I know this is hard.\n\nI wish I could say this will be over soon, but I can’t. \n\nWe must make decisions based on the science…","davegarza7"
"neutral","RT @gp_pulipaka: A 9 Page Data Science Cheat Sheet. #BigData #Analytics #DataScience #IoT #IIoT #PyTorch #Python #RStats #TensorFlow #Java…","qubole"
"negative","RT @NYGovCuomo: I know this is hard.\n\nI wish I could say this will be over soon, but I can’t. \n\nWe must make decisions based on the science…","sarahkx33"
"positive","RT @caseymross: “Remdesivir was a miracle,” reports one Chicago patient. Stat’s @matthewherper and @adamfeuerstein report that, while early…","FeG_MO"
