lyrics,letras_url
"Ela sentiu saudades,",https://www.letras.mus.br/rasta-chinela/258439/
"Ela me ligou,",https://www.letras.mus.br/rasta-chinela/258439/
"E por telefone ela chorou, chorou",https://www.letras.mus.br/rasta-chinela/258439/
"Ela sentiu saudades,",https://www.letras.mus.br/rasta-chinela/258439/
"Ela quer voltar,",https://www.letras.mus.br/rasta-chinela/258439/
E por telefone ouvi ela chorar,https://www.letras.mus.br/rasta-chinela/258439/
"Ela chorou de Amor,",https://www.letras.mus.br/rasta-chinela/258439/
"De quê que ela chorou, de quê que ela chorou? (2 X)",https://www.letras.mus.br/rasta-chinela/258439/
Ela chorou de Amor,https://www.letras.mus.br/rasta-chinela/258439/
"Ela diz que sofreu,",https://www.letras.mus.br/rasta-chinela/258439/
"Sofreu de solidão,",https://www.letras.mus.br/rasta-chinela/258439/
"E por telefone ela pediu perdão,",https://www.letras.mus.br/rasta-chinela/258439/
"E eu a perdoei,",https://www.letras.mus.br/rasta-chinela/258439/
"Pra não vê-la chorar,",https://www.letras.mus.br/rasta-chinela/258439/
Quando a gente ama é lindo perdoar....,https://www.letras.mus.br/rasta-chinela/258439/
"Ela chorou de Amor,",https://www.letras.mus.br/rasta-chinela/258439/
"De quê que ela chorou, de quê que ela chorou? (3 X)",https://www.letras.mus.br/rasta-chinela/258439/
Ela chorou de Amor,https://www.letras.mus.br/rasta-chinela/258439/
"Ela diz que me ama,",https://www.letras.mus.br/rasta-chinela/258439/
Ela se soltou,https://www.letras.mus.br/rasta-chinela/258439/
E por telefone ela se entregou,https://www.letras.mus.br/rasta-chinela/258439/
Ela diz que vem,https://www.letras.mus.br/rasta-chinela/258439/
E eu vou esperar,https://www.letras.mus.br/rasta-chinela/258439/
Pelo telefone não dá pra se amar,https://www.letras.mus.br/rasta-chinela/258439/
"Ela chorou de Amor,",https://www.letras.mus.br/rasta-chinela/258439/
"De quê que ela chorou, de quê que ela chorou? (2 X)",https://www.letras.mus.br/rasta-chinela/258439/
Ela chorou de Amor,https://www.letras.mus.br/rasta-chinela/258439/
