lyrics,letras_url
"Oh donna, oh donna",https://www.letras.mus.br/rasta-chinela/donna/
"Oh donna, oh donna",https://www.letras.mus.br/rasta-chinela/donna/
"Eu sei que eu, pra sempre vou te amar,",https://www.letras.mus.br/rasta-chinela/donna/
"O meu coração só tem um lugar,",https://www.letras.mus.br/rasta-chinela/donna/
"Você sabe ele é só teu eu nasci pra você,",https://www.letras.mus.br/rasta-chinela/donna/
"Por você, só por você.",https://www.letras.mus.br/rasta-chinela/donna/
"O donna não deixa mais, eu sofrer, por você,",https://www.letras.mus.br/rasta-chinela/donna/
"Oh donna não só capaz, de te esquecer,",https://www.letras.mus.br/rasta-chinela/donna/
"Mais uma vez, estou a te esperar, o meu coração",https://www.letras.mus.br/rasta-chinela/donna/
"Só tem um lugar, eu sei ele é só teu, eu nasci pra você, por você, só por você.",https://www.letras.mus.br/rasta-chinela/donna/
"Oh donna, oh donna",https://www.letras.mus.br/rasta-chinela/donna/
"Oh donna, oh donna",https://www.letras.mus.br/rasta-chinela/donna/
"Eu sei que eu, pra sempre vou te amar",https://www.letras.mus.br/rasta-chinela/donna/
"Oh donna, oh donna",https://www.letras.mus.br/rasta-chinela/donna/
