id,model,vocab,embeddings,maxlen,lstm,punct,optimizer,loss,acc,epochs,elapsed_time,timeout,max_epochs
31,RNN2,3200,64,10,256,True,sgd_fast,0.705,0.8378,40,244.8873,1,100
30,RNN3,3200,64,10,256,True,sgd_fast,0.7489,0.832,42,242.5518,1,100
11,RNN2,3200,64,10,128,True,adam_fast,0.7699,0.8289,60,240.9058,1,100
12,RNN1,3200,64,10,128,True,adam_fast,0.8966,0.8217,60,140.5856,1,100
10,RNN3,3200,64,10,128,True,adam_fast,1.0958,0.7565,60,222.229,1,100
27,RNN2,3200,64,10,128,True,sgd_fast,1.2961,0.7028,38,244.3849,1,100
16,RNN1,3200,64,10,256,True,adam_fast,1.7552,0.6573,60,138.5905,1,100
26,RNN3,3200,64,10,128,True,sgd_fast,1.6636,0.6252,42,241.848,1,100
40,RNN1,3200,64,10,256,True,rmsprop,3.6596,0.5794,60,182.2183,1,100
1,RNN4,3200,64,10,128,True,adam,1.7114,0.5772,20,240.1219,1,100
4,RNN1,3200,64,10,128,True,adam,2.1454,0.5689,60,143.1769,1,100
14,RNN3,3200,64,10,256,True,adam_fast,2.1108,0.5566,60,193.4106,1,100
3,RNN2,3200,64,10,128,True,adam,2.0388,0.5512,60,237.9389,1,100
15,RNN2,3200,64,10,256,True,adam_fast,2.0932,0.5379,49,241.5188,1,100
13,RNN4,3200,64,10,256,True,adam_fast,1.9114,0.5371,20,249.1149,1,100
32,RNN1,3200,64,10,256,True,sgd_fast,2.0981,0.5086,59,242.7718,1,100
38,RNN3,3200,64,10,256,True,rmsprop,3.5437,0.476,56,243.3606,1,100
7,RNN2,3200,64,10,256,True,adam,2.4307,0.4701,50,243.1483,1,100
2,RNN3,3200,64,10,128,True,adam,2.4682,0.469,60,231.5093,1,100
36,RNN1,3200,64,10,128,True,rmsprop,4.7325,0.4629,60,205.6424,1,100
5,RNN4,3200,64,10,256,True,adam,2.2616,0.4628,20,250.5055,1,100
8,RNN1,3200,64,10,256,True,adam,2.7033,0.4538,60,137.6715,1,100
28,RNN1,3200,64,10,128,True,sgd_fast,2.6984,0.4341,60,235.7374,1,100
39,RNN2,3200,64,10,256,True,rmsprop,3.3676,0.423,43,241.3899,1,100
35,RNN2,3200,64,10,128,True,rmsprop,4.248,0.3556,48,242.1237,1,100
25,RNN4,3200,64,10,128,True,sgd_fast,2.8296,0.3376,24,243.9663,1,100
6,RNN3,3200,64,10,256,True,adam,3.2003,0.3271,60,198.1874,1,100
29,RNN4,3200,64,10,256,True,sgd_fast,3.0697,0.2967,23,242.5617,1,100
34,RNN3,3200,64,10,128,True,rmsprop,5.0407,0.2576,49,244.0731,1,100
37,RNN4,3200,64,10,256,True,rmsprop,5.3753,0.1355,14,241.9252,1,100
33,RNN4,3200,64,10,128,True,rmsprop,5.4186,0.1319,15,248.8846,1,100
24,RNN1,3200,64,10,256,True,sgd,6.1904,0.0931,60,243.0868,1,100
45,RNN4,3200,64,10,256,True,rmsprop_fast,7.6657,0.0931,14,241.2636,1,100
41,RNN4,3200,64,10,128,True,rmsprop_fast,7.6686,0.0931,15,249.1551,1,100
9,RNN4,3200,64,10,128,True,adam_fast,6.2334,0.0931,20,242.5269,1,100
23,RNN2,3200,64,10,256,True,sgd,6.1917,0.0931,41,245.3035,1,100
17,RNN4,3200,64,10,128,True,sgd,6.2043,0.0931,24,242.5562,1,100
18,RNN3,3200,64,10,128,True,sgd,6.1908,0.0931,42,244.7331,1,100
19,RNN2,3200,64,10,128,True,sgd,6.1924,0.0931,38,243.826,1,100
20,RNN1,3200,64,10,128,True,sgd,6.1888,0.0931,60,238.8468,1,100
21,RNN4,3200,64,10,256,True,sgd,6.2063,0.0931,23,243.6551,1,100
22,RNN3,3200,64,10,256,True,sgd,6.1932,0.0931,42,240.5557,1,100
44,RNN1,3200,64,10,128,True,rmsprop_fast,9.2824,0.0687,60,213.2049,1,100
48,RNN1,3200,64,10,256,True,rmsprop_fast,18.0013,0.0469,60,167.5356,1,100
47,RNN2,3200,64,10,256,True,rmsprop_fast,67.0053,0.0316,44,243.8567,1,100
43,RNN2,3200,64,10,128,True,rmsprop_fast,61.8909,0.0291,50,242.4051,1,100
46,RNN3,3200,64,10,256,True,rmsprop_fast,56.3345,0.0268,60,240.794,1,100
42,RNN3,3200,64,10,128,True,rmsprop_fast,31.5293,0.0228,50,244.2396,1,100
