id,model,vocab,embeddings,maxlen,lstm,punct,optimizer,loss,acc,epochs,elapsed_time,timeout,max_epochs
4,RNN1,1752,256,10,256,True,adam,0.4773,0.8451,55,181.7744,3,300
2,RNN3,1752,256,10,256,True,adam,0.5127,0.8449,46,180.5454,3,300
1,RNN4,1751,256,10,256,True,adam,0.4735,0.8445,57,300.4125,5,300
12,RNN1,1752,256,10,256,True,sgd_fast,0.4965,0.8438,78,180.064,3,300
3,RNN2,1752,256,10,256,True,adam,0.5217,0.8422,33,183.9508,3,300
10,RNN3,1752,256,10,256,True,sgd_fast,0.5219,0.8408,56,181.9011,3,300
1,RNN4,1752,256,10,256,True,adam,0.5082,0.8405,33,184.9722,3,300
11,RNN2,1752,256,10,256,True,sgd_fast,0.5509,0.8401,36,181.274,3,300
9,RNN4,1752,256,10,256,True,sgd_fast,0.5176,0.8398,41,182.4295,3,300
8,RNN1,1752,256,10,256,True,adam_fast,0.5718,0.8353,54,181.2597,3,300
1,RNN4,1751,256,10,256,True,adam,0.4536,0.8285,220,600.6686,10,300
1,RNN1,1751,128,10,256,True,adam,0.4875,0.8238,230,300.9232,5,300
1,RNN1,1751,64,10,256,True,adam,0.4952,0.8223,259,300.3276,5,300
1,RNN1,1751,64,10,256,False,adam,0.5389,0.807,282,300.3569,5,300
6,RNN3,1752,256,10,256,True,adam_fast,2.0008,0.6117,45,180.5387,3,300
7,RNN2,1752,256,10,256,True,adam_fast,1.923,0.5615,32,185.5761,3,300
5,RNN4,1752,256,10,256,True,adam_fast,5.8057,0.0613,33,180.752,3,300
