id,model,vocab,embeddings,maxlen,lstm,punct,optimizer,loss,acc,epochs,elapsed_time,timeout,max_epochs
7,RNN2,28,8,26,26,True,adam_fast,1.5373,0.5579,22,61.7071,1,200
16,RNN1,28,8,26,26,True,sgd_fast,1.5818,0.5568,56,60.6463,1,200
15,RNN2,28,8,26,26,True,sgd_fast,1.5228,0.5419,23,62.7166,1,200
14,RNN3,28,8,26,26,True,sgd_fast,1.5407,0.5419,39,61.6108,1,200
13,RNN4,28,8,26,26,True,sgd_fast,1.5485,0.5394,37,61.1612,1,200
6,RNN3,28,8,26,26,True,adam_fast,1.5873,0.5361,37,61.8717,1,200
8,RNN1,28,8,26,26,True,adam_fast,1.6676,0.5354,51,61.2728,1,200
4,RNN1,28,8,26,26,True,adam,1.5894,0.5296,58,60.6412,1,200
20,RNN1,28,8,26,26,True,rmsprop,1.6043,0.5277,54,60.2556,1,200
1,RNN4,28,8,26,26,True,adam,1.5846,0.5256,39,61.3893,1,200
17,RNN4,28,8,26,26,True,rmsprop,1.6073,0.5158,34,60.8807,1,200
1,RNN1,28,8,26,26,True,adam,1.6602,0.5138,50,53.7031,1,50
3,RNN2,28,8,26,26,True,adam,1.6268,0.5125,24,62.7718,1,200
18,RNN3,28,8,26,26,True,rmsprop,1.6356,0.5082,36,61.0501,1,200
2,RNN3,28,8,26,26,True,adam,1.635,0.5063,39,61.5528,1,200
19,RNN2,28,8,26,26,True,rmsprop,1.6939,0.486,22,62.263,1,200
1,RNN2,28,8,26,26,True,adam,1.7557,0.4552,20,52.5676,1,20
5,RNN4,28,8,26,26,True,adam_fast,1.8627,0.4287,35,60.9449,1,200
22,RNN3,28,8,26,26,True,rmsprop_fast,1.963,0.4164,36,61.2517,1,200
12,RNN1,28,8,26,26,True,sgd,2.0739,0.3925,56,60.4843,1,200
23,RNN2,28,8,26,26,True,rmsprop_fast,2.1645,0.3906,21,61.0984,1,200
24,RNN1,28,8,26,26,True,rmsprop_fast,2.0573,0.3798,55,61.1528,1,200
11,RNN2,28,8,26,26,True,sgd,2.5414,0.2064,22,61.8734,1,200
9,RNN4,28,8,26,26,True,sgd,2.5328,0.2028,35,61.7029,1,200
10,RNN3,28,8,26,26,True,sgd,2.5459,0.2009,36,62.0496,1,200
21,RNN4,28,8,26,26,True,rmsprop_fast,2.7661,0.1164,35,61.065,1,200
