lyrics,letras_url
"Hei, tá vendo aquela moça bem ali",https://www.letras.mus.br/rasta-chinela/1377282/
"Sentada com um cara em outra mesa,",https://www.letras.mus.br/rasta-chinela/1377282/
Tomando cerveja olhando pra mim.,https://www.letras.mus.br/rasta-chinela/1377282/
"Hei, se ele soubesse que ela me ama,",https://www.letras.mus.br/rasta-chinela/1377282/
"Pagava a conta depois dava o fora,",https://www.letras.mus.br/rasta-chinela/1377282/
Pois ela lhe da bola mais também o engana.,https://www.letras.mus.br/rasta-chinela/1377282/
"É será que esse cara não percebeu,",https://www.letras.mus.br/rasta-chinela/1377282/
"Que eu sou o dono dela e seu amor é meu,",https://www.letras.mus.br/rasta-chinela/1377282/
E no final da noite ela vai ser minha.,https://www.letras.mus.br/rasta-chinela/1377282/
(refrão),https://www.letras.mus.br/rasta-chinela/1377282/
"Cai fora que essa garota vai ser minha namorada,",https://www.letras.mus.br/rasta-chinela/1377282/
"Pode ser bandida e viver na balada,",https://www.letras.mus.br/rasta-chinela/1377282/
Mais eu gosto dela desse jeito assim.,https://www.letras.mus.br/rasta-chinela/1377282/
"Cai fora essa menina doida é mesmo um perigo,",https://www.letras.mus.br/rasta-chinela/1377282/
"As vezes sou amante as vezes sou amigo,",https://www.letras.mus.br/rasta-chinela/1377282/
Mais é o jeito dela de gostar de mim.,https://www.letras.mus.br/rasta-chinela/1377282/
