id,model,vocab,embeddings,maxlen,lstm,punct,optimizer,loss,acc,epochs,elapsed_time,timeout,max_epochs
39,RNN1,3000,128,12,256,True,adam,0.4392,0.8719,136,420.5081,7,300
45,RNN1,3000,128,12,256,True,adam_fast,0.4294,0.8707,135,420.4947,7,300
1,RNN3,3000,256,12,256,True,adam,0.4545,0.8701,90,422.3251,7,300
12,RNN1,3000,256,12,512,True,adam_fast,0.4293,0.8701,96,420.9246,7,300
6,RNN1,3000,256,10,256,True,adam_fast,0.4553,0.8699,75,300.5024,5,200
42,RNN1,3000,128,12,512,True,adam,0.4398,0.8697,120,423.2562,7,300
3,RNN1,3000,256,10,256,True,adam,0.4481,0.8695,75,300.9645,5,200
3,RNN1,3000,256,12,256,True,adam,0.4375,0.8695,104,420.8139,7,300
6,RNN1,3000,256,12,512,True,adam,0.4335,0.8694,96,424.1649,7,300
1,RNN3,3000,256,10,256,True,adam,0.489,0.8694,67,301.6354,5,200
43,RNN3,3000,128,12,256,True,adam_fast,0.4947,0.8693,116,420.5615,7,300
2,RNN3,3083,256,14,256,True,adam,0.4609,0.8689,75,422.0953,7,300
1,RNN3,3083,256,14,256,True,adam,0.5276,0.8689,62,300.9904,5,300
4,RNN1,3083,256,14,256,True,adam,0.4477,0.8689,77,420.0947,7,300
48,RNN1,3000,128,12,512,True,adam_fast,0.4393,0.8687,116,420.3664,7,300
54,RNN1,3000,128,12,512,True,sgd_fast,0.475,0.8686,82,423.5925,7,300
3,RNN1,3000,512,10,256,True,adam,0.5238,0.8684,29,180.5636,3,100
6,RNN1,3200,128,10,256,True,adam_fast,0.4488,0.8683,59,181.3732,3,100
15,RNN1,3000,256,12,256,True,sgd_fast,0.4762,0.8682,85,421.1428,7,300
51,RNN1,3000,128,12,256,True,sgd_fast,0.4817,0.8682,86,422.0551,7,300
2,RNN2,3000,256,12,256,True,adam,0.4696,0.8681,66,425.1485,7,300
18,RNN1,3000,256,12,512,True,sgd_fast,0.4752,0.868,77,420.3258,7,300
13,RNN3,3000,256,12,256,True,sgd_fast,0.5193,0.8678,57,427.341,7,300
4,RNN3,3000,256,12,512,True,adam,0.4682,0.8678,65,422.6353,7,300
9,RNN1,3000,512,10,256,True,sgd_fast,0.5194,0.8678,45,183.4631,3,100
3,RNN1,3200,128,10,256,True,adam,0.4775,0.8677,60,182.4934,3,100
3,RNN1,3083,256,14,256,True,adam,0.4601,0.8675,70,302.6651,5,300
7,RNN3,3000,256,10,256,True,sgd_fast,0.5341,0.8673,53,303.1878,5,200
10,RNN3,3000,256,12,512,True,adam_fast,0.466,0.8673,65,426.0128,7,300
44,RNN2,3000,128,12,256,True,adam_fast,0.5011,0.8672,75,424.0207,7,300
50,RNN2,3000,128,12,256,True,sgd_fast,0.5264,0.867,55,421.2835,7,300
8,RNN2,3000,256,10,256,True,sgd_fast,0.5253,0.867,51,304.434,5,200
14,RNN2,3000,256,12,256,True,sgd_fast,0.5282,0.8669,53,420.4171,7,300
49,RNN3,3000,128,12,256,True,sgd_fast,0.5367,0.8669,58,423.3836,7,300
16,RNN3,3000,256,12,512,True,sgd_fast,0.5228,0.8669,57,423.8206,7,300
2,RNN2,3000,256,10,256,True,adam,0.5032,0.8667,49,302.4229,5,200
9,RNN1,3200,128,10,256,True,sgd_fast,0.5151,0.8665,55,183.4822,3,100
27,RNN1,3200,256,10,256,True,sgd_fast,0.5322,0.8665,45,183.8026,3,100
5,RNN2,3000,256,12,512,True,adam,0.5292,0.8652,34,420.5317,7,300
12,RNN1,3200,128,8,256,True,sgd_fast,0.583,0.8651,37,122.323,2,100
12,RNN1,3200,128,8,256,True,sgd_fast,0.583,0.8651,37,122.323,3,100
17,RNN2,3000,256,12,512,True,sgd_fast,0.5719,0.865,37,425.1024,7,300
16,RNN1,3200,128,12,256,True,sgd_fast,0.5975,0.8642,37,122.2459,2,100
16,RNN1,3200,128,12,256,True,sgd_fast,0.5975,0.8642,37,122.2459,3,100
9,RNN1,3000,256,12,256,True,adam_fast,0.4845,0.864,104,423.6843,7,300
47,RNN2,3000,128,12,512,True,adam_fast,0.5463,0.864,37,427.5735,7,300
24,RNN1,3200,256,10,256,True,adam_fast,0.5984,0.863,44,181.1043,3,100
52,RNN3,3000,128,12,512,True,sgd_fast,0.5518,0.8628,59,423.0398,7,300
53,RNN2,3000,128,12,512,True,sgd_fast,0.5976,0.8615,38,425.1284,7,300
2,RNN2,3083,256,14,256,True,adam,0.5898,0.8591,42,302.3096,5,300
57,RNN1,3000,128,12,256,False,adam,0.494,0.857,165,421.218,7,300
63,RNN1,3000,128,12,256,False,adam_fast,0.4713,0.8564,166,420.8024,7,300
8,RNN1,3083,256,14,256,True,adam_fast,0.515,0.8563,92,421.1339,7,300
60,RNN1,3000,128,12,512,False,adam,0.4851,0.8557,134,422.4273,7,300
19,RNN3,3000,256,12,256,False,adam,0.5519,0.8556,103,421.5502,7,300
66,RNN1,3000,128,12,512,False,adam_fast,0.4793,0.8552,135,423.15,7,300
25,RNN3,3000,256,12,256,False,adam_fast,0.4833,0.8549,100,423.9712,7,300
