Nome da instituicao;Sigla da instituicao;Nome da base de dados;Sigla da base de dados;Responsavel pelo registro;Numero do registro no portal;Numero do registro na base de dados;Data do registro;Data do evento;Data de Carencia;Nome cientifico;Nome comum;Nome cientifico na base de dados;Nivel taxonomico;Numero de individuos;Reino;Filo;Classe;Ordem;Familia;Genero;Especie;Estado de conservacao;Categoria de Ameaca;Localidade;Pais;Estado/Provincia;Municipio;Status de Sensibilidade;Latitude;Longitude;Outras informacoes da localidade;Jurisdicao;Destino do Material
Sem Informações;ICMBio;Atlas de Registro de Aves Brasileiras;ARA - Atlas de Registros de Aves Brasileiras;Ibama (Instituto Brasileiro de Meio Ambiente e dos Recursos Naturais Renováveis). 2005. Plano de Manejo da Área de Proteção Ambiental Fernando de Noronha - Atol das Rocas e São Pedro São Paulo. Versão Final. Brasília. 102p.;ARA-LIT-95641;Sem Informações;Sem Informações;Sem Informações;27/09/2017;Actitis macularius;Maçarico-pintado;Actitis macularius;species;1;Sem Informações;Chordata;Aves;Ciconiiformes;Scolopacidae;Actitis;Actitis macularius;Espécie não Ameaçada;Sem Informações;APA de Fernando de Noronha;Sem Informações;PE;Fernando de Noronha;Espécie não Sensível;-3.849;-32.42;Coordenada exata da ocorr?ncia;Sem Informações;Sem Informações
Sem Informações;ICMBio;Atlas de Registro de Aves Brasileiras;ARA - Atlas de Registros de Aves Brasileiras;Ibama (Instituto Brasileiro de Meio Ambiente e dos Recursos Naturais Renováveis). 2005. Plano de Manejo da Área de Proteção Ambiental Fernando de Noronha - Atol das Rocas e São Pedro São Paulo. Versão Final. Brasília. 102p.;ARA-LIT-95642;Sem Informações;Sem Informações;Sem Informações;27/09/2017;Anous minutus;Trinta-réis-preto;Anous minutus;species;1;Sem Informações;Chordata;Aves;Ciconiiformes;Laridae;Anous;Anous minutus;Espécie não Ameaçada;Sem Informações;APA de Fernando de Noronha;Sem Informações;PE;Fernando de Noronha;Espécie não Sensível;-3.849;-32.42;Coordenada exata da ocorr?ncia;Sem Informações;Sem Informações
Sem Informações;ICMBio;Atlas de Registro de Aves Brasileiras;ARA - Atlas de Registros de Aves Brasileiras;Ibama (Instituto Brasileiro de Meio Ambiente e dos Recursos Naturais Renováveis). 2005. Plano de Manejo da Área de Proteção Ambiental Fernando de Noronha - Atol das Rocas e São Pedro São Paulo. Versão Final. Brasília. 102p.;ARA-LIT-95643;Sem Informações;Sem Informações;Sem Informações;27/09/2017;Anous minutus;Trinta-réis-preto;Anous minutus;species;1;Sem Informações;Chordata;Aves;Ciconiiformes;Laridae;Anous;Anous minutus;Espécie não Ameaçada;Sem Informações;APA de Fernando de Noronha;Sem Informações;PE;Fernando de Noronha;Espécie não Sensível;-3.849;-32.42;Coordenada exata da ocorr?ncia;Sem Informações;Sem Informações
Sem Informações;ICMBio;Atlas de Registro de Aves Brasileiras;ARA - Atlas de Registros de Aves Brasileiras;Ibama (Instituto Brasileiro de Meio Ambiente e dos Recursos Naturais Renováveis). 2005. Plano de Manejo da Área de Proteção Ambiental Fernando de Noronha - Atol das Rocas e São Pedro São Paulo. Versão Final. Brasília. 102p.;ARA-LIT-95644;Sem Informações;Sem Informações;Sem Informações;27/09/2017;Anous stolidus;Trinta-réis-escuro;Anous stolidus;species;1;Sem Informações;Chordata;Aves;Ciconiiformes;Laridae;Anous;Anous stolidus;Espécie não Ameaçada;Sem Informações;APA de Fernando de Noronha;Sem Informações;PE;Fernando de Noronha;Espécie não Sensível;-3.849;-32.42;Coordenada exata da ocorr?ncia;Sem Informações;Sem Informações
Sem Informações;ICMBio;Atlas de Registro de Aves Brasileiras;ARA - Atlas de Registros de Aves Brasileiras;Ibama (Instituto Brasileiro de Meio Ambiente e dos Recursos Naturais Renováveis). 2005. Plano de Manejo da Área de Proteção Ambiental Fernando de Noronha - Atol das Rocas e São Pedro São Paulo. Versão Final. Brasília. 102p.;ARA-LIT-95645;Sem Informações;Sem Informações;Sem Informações;27/09/2017;Ardea alba;garça-branca-grande;Ardea alba;species;1;Sem Informações;Chordata;Aves;Ciconiiformes;Ardeidae;Ardea;Ardea alba;Espécie não Ameaçada;Sem Informações;APA de Fernando de Noronha;Sem Informações;PE;Fernando de Noronha;Espécie não Sensível;-3.849;-32.42;Coordenada exata da ocorr?ncia;Sem Informações;Sem Informações
Sem Informações;ICMBio;Atlas de Registro de Aves Brasileiras;ARA - Atlas de Registros de Aves Brasileiras;Ibama (Instituto Brasileiro de Meio Ambiente e dos Recursos Naturais Renováveis). 2005. Plano de Manejo da Área de Proteção Ambiental Fernando de Noronha - Atol das Rocas e São Pedro São Paulo. Versão Final. Brasília. 102p.;ARA-LIT-95646;Sem Informações;Sem Informações;Sem Informações;27/09/2017;Ardea cocoi;garça-moura;Ardea cocoi;species;1;Sem Informações;Chordata;Aves;Ciconiiformes;Ardeidae;Ardea;Ardea cocoi;Espécie não Ameaçada;Sem Informações;APA de Fernando de Noronha;Sem Informações;PE;Fernando de Noronha;Espécie não Sensível;-3.849;-32.42;Coordenada exata da ocorr?ncia;Sem Informações;Sem Informações
Sem Informações;ICMBio;Atlas de Registro de Aves Brasileiras;ARA - Atlas de Registros de Aves Brasileiras;Ibama (Instituto Brasileiro de Meio Ambiente e dos Recursos Naturais Renováveis). 2005. Plano de Manejo da Área de Proteção Ambiental Fernando de Noronha - Atol das Rocas e São Pedro São Paulo. Versão Final. Brasília. 102p.;ARA-LIT-95647;Sem Informações;Sem Informações;Sem Informações;27/09/2017;Ardea purpurea;Sem Informações;Ardea purpurea;species;1;Sem Informações;Chordata;Aves;Ciconiiformes;Ardeidae;Ardea;Ardea purpurea;Espécie não Ameaçada;Sem Informações;APA de Fernando de Noronha;Sem Informações;PE;Fernando de Noronha;Espécie não Sensível;-3.849;-32.42;Coordenada exata da ocorr?ncia;Sem Informações;Sem Informações
Sem Informações;ICMBio;Atlas de Registro de Aves Brasileiras;ARA - Atlas de Registros de Aves Brasileiras;Ibama (Instituto Brasileiro de Meio Ambiente e dos Recursos Naturais Renováveis). 2005. Plano de Manejo da Área de Proteção Ambiental Fernando de Noronha - Atol das Rocas e São Pedro São Paulo. Versão Final. Brasília. 102p.;ARA-LIT-95648;Sem Informações;Sem Informações;Sem Informações;27/09/2017;Ardeola ralloides;Garça-caranguejeira;Ardeola ralloides;species;1;Sem Informações;Chordata;Aves;Ciconiiformes;Ardeidae;Ardeola;Ardeola ralloides;Espécie não Ameaçada;Sem Informações;APA de Fernando de Noronha;Sem Informações;PE;Fernando de Noronha;Espécie não Sensível;-3.849;-32.42;Coordenada exata da ocorr?ncia;Sem Informações;Sem Informações
Sem Informações;ICMBio;Atlas de Registro de Aves Brasileiras;ARA - Atlas de Registros de Aves Brasileiras;Ibama (Instituto Brasileiro de Meio Ambiente e dos Recursos Naturais Renováveis). 2005. Plano de Manejo da Área de Proteção Ambiental Fernando de Noronha - Atol das Rocas e São Pedro São Paulo. Versão Final. Brasília. 102p.;ARA-LIT-95649;Sem Informações;Sem Informações;Sem Informações;27/09/2017;Arenaria interpres;Vira-pedras;Arenaria interpres;species;1;Sem Informações;Chordata;Aves;Ciconiiformes;Scolopacidae;Arenaria;Arenaria interpres;Espécie não Ameaçada;Sem Informações;APA de Fernando de Noronha;Sem Informações;PE;Fernando de Noronha;Espécie não Sensível;-3.849;-32.42;Coordenada exata da ocorr?ncia;Sem Informações;Sem Informações
Sem Informações;ICMBio;Atlas de Registro de Aves Brasileiras;ARA - Atlas de Registros de Aves Brasileiras;Ibama (Instituto Brasileiro de Meio Ambiente e dos Recursos Naturais Renováveis). 2005. Plano de Manejo da Área de Proteção Ambiental Fernando de Noronha - Atol das Rocas e São Pedro São Paulo. Versão Final. Brasília. 102p.;ARA-LIT-95650;Sem Informações;Sem Informações;Sem Informações;27/09/2017;Egretta tricolor;garça-tricolor;Egretta tricolor;species;1;Sem Informações;Chordata;Aves;Ciconiiformes;Ardeidae;Egretta;Egretta tricolor;Espécie não Ameaçada;Sem Informações;APA de Fernando de Noronha;Sem Informações;PE;Fernando de Noronha;Espécie não Sensível;-3.849;-32.42;Coordenada exata da ocorr?ncia;Sem Informações;Sem Informações
