PartNumber;nQuebras;Family;Supplier;LargerDiameter;StemDiameter;TotalLength;ChannelLength;MaterialClass;PropellerAngle;Refrigeration
4721700050;5;217-RH;3M TECHNICAL CERAMICS ZWEIGNIEDERLA;3.000;3.000;38.000;2.500;Desconhecido;0.00;0
4700101394;26;001-BA;ALLIANCE CNC;10.700;12.000;92.000;50.000;K30/40-UF;30.00;1
4700101395;28;001-BA;ALLIANCE CNC;9.700;10.000;92.000;50.000;K30/40-UF;30.00;1
4700500778;5;005-BG;ALLIANCE CNC;4.000;6.000;58.000;17.000;K30/40-UF;27.00;0
4700700155;9;007-BK;BLICKLE WERKZEUGE GMBH & CO KG;6.000;6.000;66.000;25.000;K30/40-UF;15.00;1
4721900150;4;219-RK;BLICKLE WERKZEUGE GMBH & CO KG;5.040;6.000;140.000;22.000;Desconhecido;0.00;0
4700400336;21;004-BF;BOTEK-PRAEZISIONS-BOHRTECHNIK;2.050;12.000;114.000;36.000;S20;0.00;1
4700400344;92;004-BF;BOTEK-PRAEZISIONS-BOHRTECHNIK;1.000;12.000;114.000;38.000;S20;0.00;0
4700400345;142;004-BF;BOTEK-PRAEZISIONS-BOHRTECHNIK;2.500;10.000;210.000;115.000;S20;0.00;1
4700400351;253;004-BF;BOTEK-PRAEZISIONS-BOHRTECHNIK;1.250;12.000;151.000;75.000;S20;0.00;1
4700400356;18;004-BF;BOTEK-PRAEZISIONS-BOHRTECHNIK;1.830;12.000;128.000;52.000;S20;0.00;1
4700400472;124;004-BF;BOTEK-PRAEZISIONS-BOHRTECHNIK;2.870;10.000;172.000;115.000;K15;0.00;1
4700400473;40;004-BF;BOTEK-PRAEZISIONS-BOHRTECHNIK;2.500;10.000;124.000;67.000;K15;0.00;1
4700400480;25;004-BF;BOTEK-PRAEZISIONS-BOHRTECHNIK;1.620;10.000;160.000;105.000;K15;0.00;1
4700400481;10;004-BF;BOTEK-PRAEZISIONS-BOHRTECHNIK;2.020;10.000;110.000;55.000;K15;0.00;1
4700400483;106;004-BF;BOTEK-PRAEZISIONS-BOHRTECHNIK;2.000;10.000;163.000;106.000;K15;0.00;1
4700400485;8;004-BF;BOTEK-PRAEZISIONS-BOHRTECHNIK;1.350;4.000;100.000;50.000;Na;0.00;1
4700400487;23;004-BF;BOTEK-PRAEZISIONS-BOHRTECHNIK;1.600;4.000;140.000;92.000;Na;0.00;1
4721900196;26;219-RK;FERRAMENTAS GERAIS COMERCIO E;2.400;2.400;94.000;61.000;HSS;30.00;0
4721200029;16;212-RC;FERRAMENTAS NIPOTEC IND.E;4.800;6.000;80.000;23.000;K20-F;0.00;0
4721000345;68;210-RA;FERRAMENTAS NIPOTEC IND.E;3.162;6.000;67.000;30.000;K05-UF;0.00;0
4706100183;2;061-FC;FERRAMENTAS NIPOTEC IND.E;12.000;12.000;83.000;20.000;K30/40-UF;25.00;0
4700800130;34;061-FC;FERRAMENTAS NIPOTEC IND.E;4.300;12.000;112.000;31.000;K30/40-UF;15.00;1
4700800131;6;061-FC;FERRAMENTAS NIPOTEC IND.E;4.500;6.000;108.000;31.000;K30/40-UF;30.00;1
4706300110;69;063-FG;FERRAMENTAS NIPOTEC IND.E;6.000;8.000;70.000;7.000;K30/40-UF;0.00;0
4700900093;1;009-BP;FERRAMENTAS NIPOTEC IND.E;8.000;8.000;100.000;17.500;K30/40-UF;30.00;0
4700500639;34;011-BR;FERRAMENTAS NIPOTEC IND.E;17.460;18.000;100.000;45.000;K30/40-UF;30.00;1
4701200036;10;012-BS;FERRAMENTAS NIPOTEC IND.E;1.440;3.000;50.000;9.500;K10-F;15.00;0
4701200037;1;012-BS;FERRAMENTAS NIPOTEC IND.E;2.040;4.000;45.000;11.500;K10-F;15.00;0
4701200053;3;012-BS;FERRAMENTAS NIPOTEC IND.E;2.660;6.000;50.000;8.000;Desconhecido;0.00;0
4706100074;56;061-FC;FERRAMENTAS NIPOTEC IND.E;2.500;6.000;76.000;11.000;K30/40-UF;19.30;0
4706100120;2;061-FC;FERRAMENTAS NIPOTEC IND.E;26.000;20.000;80.000;28.000;K30/40-UF;30.00;0
4706100168;83;061-FC;FERRAMENTAS NIPOTEC IND.E;2.800;3.000;38.000;5.000;K20-F;30.00;0
